iteration ,parse ,solve ,decision ,unit    ,visit    ,restart ,adjacency     ,virtual
        3 ,    2 , 7232 ,  142616 ,1295685 ,14977567 ,      0 ,set_unordered ,true
        4 ,    2 , 7232 ,  142616 ,1295685 ,14977567 ,      0 ,set_unordered ,true
        0 ,    2 ,10656 ,  221442 ,2037403 ,23511855 ,      0 ,set_unordered ,true
        1 ,    2 ,10662 ,  221442 ,2038570 ,23530225 ,      0 ,set_unordered ,true
        2 ,    2 ,10663 ,  221442 ,2038570 ,23530225 ,      0 ,set_unordered ,true
        3 ,    2 ,10666 ,  221442 ,2038570 ,23530225 ,      0 ,set_unordered ,true
        4 ,    2 ,10664 ,  221442 ,2038570 ,23530225 ,      0 ,set_unordered ,true
        0 ,    2 ,  952 ,   21810 , 213039 , 2340499 ,      0 ,set_unordered ,false
        1 ,    2 ,  949 ,   21810 , 212872 , 2338188 ,      0 ,set_unordered ,false
        2 ,    2 ,  950 ,   21810 , 212872 , 2338188 ,      0 ,set_unordered ,false
        3 ,    2 ,  950 ,   21810 , 212872 , 2338188 ,      0 ,set_unordered ,false
        4 ,    2 ,  950 ,   21810 , 212872 , 2338188 ,      0 ,set_unordered ,false
        0 ,    2 ,12185 ,  282452 ,2607703 ,29816700 ,      0 ,set_unordered ,false
        1 ,    2 ,12176 ,  282452 ,2606221 ,29802048 ,      0 ,set_unordered ,false
        2 ,    2 ,12173 ,  282452 ,2606221 ,29802048 ,      0 ,set_unordered ,false
        3 ,    2 ,12175 ,  282452 ,2606221 ,29802048 ,      0 ,set_unordered ,false
        4 ,    2 ,12172 ,  282452 ,2606221 ,29802048 ,      0 ,set_unordered ,false
        0 ,    2 , 7940 ,  178690 ,1654697 ,19008234 ,      0 ,set_unordered ,false
        1 ,    2 , 7962 ,  178690 ,1659502 ,19057429 ,      0 ,set_unordered ,false
        2 ,    2 , 7965 ,  178690 ,1659502 ,19057429 ,      0 ,set_unordered ,false
        3 ,    2 , 8134 ,  178690 ,1659502 ,19057429 ,      0 ,set_unordered ,false
        4 ,    2 , 8028 ,  178690 ,1659502 ,19057429 ,      0 ,set_unordered ,false
        0 ,    2 , 5966 ,  142616 ,1295137 ,14962142 ,      0 ,set_unordered ,false
        1 ,    2 , 5989 ,  142616 ,1295259 ,14963489 ,      0 ,set_unordered ,false
        2 ,    2 , 5963 ,  142616 ,1295259 ,14963489 ,      0 ,set_unordered ,false
        3 ,    2 , 5961 ,  142616 ,1295259 ,14963489 ,      0 ,set_unordered ,false
        4 ,    2 , 5985 ,  142616 ,1295259 ,14963489 ,      0 ,set_unordered ,false
        0 ,    2 , 9801 ,  221442 ,2050003 ,23637236 ,      0 ,set_unordered ,false
        1 ,    2 , 9405 ,  221442 ,2050450 ,23644989 ,      0 ,set_unordered ,false
        2 ,    2 , 9393 ,  221442 ,2050450 ,23644989 ,      0 ,set_unordered ,false
        3 ,    2 , 9394 ,  221442 ,2050450 ,23644989 ,      0 ,set_unordered ,false
        4 ,    2 , 9392 ,  221442 ,2050450 ,23644989 ,      0 ,set_unordered ,false
